1%22y%221,Ἀβύδηνον ἐπιφόρημα
1%22y%222,Ἄβρωνος βίος
1%22y%223,Ἀγορὰ Κερκώπων
1%22y%224,Ἀγαθὴ καὶ μᾶζα μετ' ἄρτον
1%22y%225,"Ἂν μὴ παρῇ κρέας, ταρίχῳ στερκτέον"
1%22y%226,Ἀγαμέμνονος θυσία
1%22y%227,Ἀγαθώνειος αὔλησις
1%22y%228,Ἀγέλαστος πέτρα
1%22y%229,Ἀγαθὰ Κιλίκων
1%22y%2210,Ἀγαθῶν θάλασσα
1%22y%2211,Ἁγνότερος πηδαλίου
1%22y%2212,Ἀγροίκου μὴ καταφρόνει ῥήτορος
1%22y%2213,Ἀγναμπτότερος βάτου αὔου
1%22y%2214,Ἀδώνιδος κῆποι
1%22y%2215,Αὐλὸν σάλπιγγι συγκρίνεις
1%22y%2216,Ἀδεὲς δέος
1%22y%2217,Ἀληλεσμένος βίος καὶ μεμαγμένος
1%22y%2218,Ἄσπαρτα καὶ ἀνήροτα
1%22y%2219,Ἄλλην δρῦν βαλάνιζε
1%22y%2220,"Ἄλλος βίος, ἄλλη δίαιτα"
1%22y%2221,Ἅλας ἄγων καθεύδεις
1%22y%2222,Ἄιδεις ὡς εἰς Δῆλον πλέων
1%22y%2223,Ἄλλοτε δ' ἀλλοῖον τελέθειν καὶ χώρᾳ ἕπεσθαι
1%22y%2224,Ἀζάνια κακά
1%22y%2225,Ἀνάγυρον κινεῖς
1%22y%2226,Ἀντρώνιος ὄνος
1%22y%2227,Ἄνω ποταμῶν χωροῦσι πηγαί
1%22y%2228,Ἀράβιος αὐλητής
1%22y%2229,Ἀρκάδας μιμούμενος
1%22y%2230,Ἀρχὴ Σκυρία
1%22y%2231,Αἰθὴς πέπλος
1%22y%2232,Αἵμασι κλαίειν
1%22y%2233,Αἱροῦντες ᾑρήμεθα
1%22y%2234,Αἱ Χάριτες γυμναί
1%22y%2235,Αἱ Ἰβύκου γέρανοι
1%22y%2236,"Αὐτοὶ χελώνας ἔσθεθ', οἵπερ εἵλετε"
1%22y%2237,Αἰγιαλῷ λαλεῖς
1%22y%2238,Αἰθέρα νήνεμον αἱρήσεις
1%22y%2239,Ἄϊδος κυνῆ
1%22y%2240,"Αἲξ οὔπω τέτοκεν, ἔριφος δ' ἐπὶ δώματι παίζει"
1%22y%2241,Αἰάντειος γέλως
1%22y%2242,Ἀφύων τιμὴ
1%22y%2243,Ἀνίπτοις χερσίν
1%22y%2244,Ἄειδε τὰ Τέλληνος
1%22y%2245,Αἰθίοπα σμήχεις
1%22y%2246,Αἰσώπειον αἷμα
1%22y%2247,Αἰγιέες οὔτε τρίτοι οὔτε τέταρτοι
1%22y%2248,Ἄκαιρος εὔνοι' οὐδὲν ἔχθρας διαφέρει
1%22y%2249,Ἀκάνθιος τέττιξ
1%22y%2250,Ἅλα καὶ κύαμον
1%22y%2251,Ἀττικοὶ τὰ Ἐλευσίνια
1%22y%2252,Αἲξ τὴν μάχαιραν
1%22y%2253,Ἄδακρυς πόλεμος
1%22y%2254,Ἀδράστεια Νέμεσις
1%22y%2255,Ἀδδηφάγον ἅρμα
1%22y%2256,"Ἀετοῦ γῆρας, κορύδου νεότης"
1%22y%2257,Ἀκεσσαίου σελήνη
1%22y%2258,Ἀεὶ γὰρ εὖ πίπτουσιν οἱ Διὸς κύβοι
1%22y%2259,Αἰτναῖος κάνθαρος
