1%22y%221,Ἀβυδηνὸν ἐπιφόρημα
1%22y%222,Ἄβρωνος βίος
1%22y%223,Ἀγορὰ Κερκώπων
1%22y%224,Ἀγαθὴ καὶ μᾶζα μετ’ ἄρτον
1%22y%225,Ἀγαμέμνονος θυσία
1%22y%226,Ἀγαθώνειος αὔλησις
1%22y%227,Ἀγέλαστος πέτρα
1%22y%228,Ἀγαθῶν θάλασσα
1%22y%229,Ἀγαθοὶ δ’ ἀριδάκρυες ἄνδρες
1%22y%2210,Ἁγνότερος πηδαλίου
1%22y%2211,Ἀγροίκου μὴ καταφρόνει ῥήτορος
1%22y%2212,Ἀδώνιδος κῆπος
1%22y%2213,Ἀδεὲς δέος
1%22y%2214,Αἰγιαλῷ λαλεῖς
1%22y%2215,Αἰθέρα νήνεμον αἱρήσεις
1%22y%2216,Ἄϊδος κυνῆ
1%22y%2217,Αἰάντειος γέλως
1%22y%2218,Ἀνίπτοις χερσίν
1%22y%2219,Αἰθίοπα σμήχειν
1%22y%2220,Αἰσώπειον αἷμα
1%22y%2221,Αἰγιέες οὔτε τρίτοι οὔτε τέταρτοι
1%22y%2222,Ἀκάνθιος τέττιξ
1%22y%2223,Ἀκεσίας ἰάσατο
1%22y%2224,Ἀκκίζεται
1%22y%2225,Ἀκίνητα κινεῖς
1%22y%2226,Ἀκεσσαίου καὶ Ἑλικῶνος ἔργα
1%22y%2227,Ἄκρον λάβε καὶ μέσον ἕξεις
1%22y%2228,Ἀκόνην σιτίζεις
1%22y%2229,Ἄκρῳ ἅψασθαι δακτύλῳ
1%22y%2230,"Ἄλλοι κάμον, ἄλλοι ὤναντο"
1%22y%2231,"Ἄλλο γλαὺξ, ἄλλο κορώνη φθέγγεται"
1%22y%2232,Ἀλωπεκίζειν πρὸς ἑτέραν ἀλώπεκα
1%22y%2233,"Ἄλλα μὲν Λεύκωνος ὄνος φέρει, ἄλλα δὲ Λεύκων"
1%22y%2234,"Ἄλλην μὲν ἐξηντλοῦμεν, ἡ δ’ ἐπεισρέει"
1%22y%2235,Ἀμεινόνων οἰωνῶν τυχεῖν
1%22y%2236,Ἅμ’ ἔπος ἅμ’ ἔργον
1%22y%2237,Ἀμουσότερος Λειβηθρίων
1%22y%2238,Ἄμμον μετρεῖν
1%22y%2239,Ἅμ’ ἠλέηται καὶ τέθνηκεν ἡ χάρις
1%22y%2240,"Ἂν μὴ παρῇ κρέας, τάριχος στέργεται"
1%22y%2241,Ἀνὴρ δὲ φεύγων οὐ μένει λύρας κτύπον
1%22y%2242,"Ἀνδρὶ Λυδῷ πράγματα οὐκ ἦν, ἀλλ’ αὐτὸς ἐξελθὼν ἐπρίατο"
1%22y%2243,Ἀντὶ πέρκης σκορπίον
1%22y%2244,Ἀνδρὸς γέροντος αἱ γνάθοι βακτηρία
1%22y%2245,Ἀνδρὸς κακῶς πράσσοντος ἐκποδὼν φίλοι
1%22y%2246,Ἄνθρωπος ἀνθρώπου δαιμόνιον
1%22y%2247,Ἀνέμου παιδίον
1%22y%2248,Ἀντιπελαργεῖν
1%22y%2249,Ἀνίπτοις ποσὶν ἀναβαίνων ἐπὶ τὸ στέγος
1%22y%2250,Ἀμφοτέραις ἀντλεῖν
1%22y%2251,Ἀνέμους γεωργεῖν
1%22y%2252,Ἄνθρακες ὁ θησαυρός
1%22y%2253,Ἄξιος εἶ τῆς ἐν Ἄργει ἀσπίδος
