alpha%22y1,αἱμωδ⸤ε⸥ῖν
alpha%22y2,αἰξωνεύεσθαι
alpha%22y3,Αἴπυτος
alpha%22y4,αἶρα
alpha%22y5a,ἀΐσθων
alpha%22y5b,ἀΐ<σ>θων
alpha%22y6,αἰσιμία
alpha%22y7-9,ἄϊστος
alpha%22y10,αἰσυητήρ
alpha%22y11,αἴσυλος
alpha%22y12,αἰσυμνητήρ
alpha%22y13,Αἰσχύλος
alpha%22y14,ἀΐτης
alpha%22y15,Αἴτνη
alpha%22y16,⸤ἀκ⸥αλήφη
alpha%22y17,⸤ἀκάμπιος
alpha%22y18,⸤Ἄκανθος
alpha%22y19,ἀκέραιος
alpha%22y20,⸤ἀκηχέδαται
alpha%22y21,⸤ἀκιδνός
alpha%22y22,⸤ἀκινάκης
alpha%22y23,⸤ἀ⸥κίς
alpha%22y24,ἀκκίζεσθαι
alpha%22y25,ἀκμή
alpha%22y26,ἄκμηνος
alpha%22y27,ἄκολος
alpha%22y28,ἀκρίς
alpha%22y29,ἄκρον
alpha%22y30,ἀκτάζων
alpha%22y31,ἀκταίνε⸤ι⸥ν
alpha%22y32,ἀκταίωρος
alpha%22y33,⸤ἀλαίνω
alpha%22y34,⸤ἀλαλύκτημαι
alpha%22y35,⸤Ἀλειπής
alpha%22y36,⸤ἀλδήσκω
alpha%22y37,⸤ἀλεωρή
alpha%22y38,Ἀλησιά⸤ς
alpha%22y39,Ἀλήτης
alpha%22y40,Ἁλίζωνες
alpha%22y41,ἅλιον
alpha%22y42,ἁλίπεδον
alpha%22y43,ἁλίσαι
alpha%22y44,ἁλιτενής
alpha%22y45,ἀλκαία
alpha%22y46,Ἀλκμήνη
alpha%22y47,ἀλκυών
alpha%22y48,ἀλλόκοτον
alpha%22y49,ἄλοξ
alpha%22y50a,ἀλύειν
alpha%22y50b,ἀλύειν
alpha%22y51,ἄλφιτα
alpha%22y52,ἅλως
alpha%22y53,†ἁμάδιος
alpha%22y54,Ἀμαζών
alpha%22y55,ἀμα⸤ιμάκετος
alpha%22y56,Ἀμάλθεια
alpha%22y57,ἁμαρτῇ
alpha%22y58,⸤ἁμαρτία
alpha%22y59-60,ἀμαρυγάς καὶ ἀμα⸤ρύγματα
alpha%22y61,⸤ἀ⸥μι⸤χθα⸥λ⸤ό⸥εσσα
alpha%22y62,ἀμνίον
alpha%22y63,ἄμπυξ
alpha%22y64,ἀ⸤μ⸥φιλύκη
alpha%22y65,⸤Ἀνάγκη
alpha%22y66,⸤ἀναίνετο
alpha%22y67,⸤ἄναλτος
alpha%22y68,ἀνεμώλιος
alpha%22y69,ἀνεψιός
alpha%22y70,⸤ἀνηρείψαντο
alpha%22y71,ἀνθέρικος
alpha%22y72,ἄραβος
alpha%22y73,ἀντιφερίζω
alpha%22y74,ἄορ
alpha%22y75,Ἀσωπός
alpha%22y76,ἀτάσθαλος
alpha%22y77,ἀζηχ⸤ές⸥
alpha%22y78,αἴνυτο
alpha%22y79,ἀκόντισε
alpha%22y80,ἀμβρόσιον
alpha%22y81,αἰσχρός
alpha%22y82a,Ἄρτεμις
alpha%22y82b,Ἄρτεμις
alpha%22y83,ἀγχιστῖναι
alpha%22y84,†ἀεικύλος
alpha%22y85,ἀκηχεμένη
alpha%22y86,ἆτος
alpha%22y87,⸤ἀνάσχεο
alpha%22y88,⸤ἀνιεῖσα
alpha%22y89,⸤ἀσπάζω
alpha%22y90,ἀθῷος
alpha%22y91-92,ἀπόνοια καὶ ἀπονοεῖσθαι
alpha%22y93,ἀπηλεγέως
alpha%22y94,⸤ἀποσκορακίζω
alpha%22y95,Ἀγαρηνός
alpha%22y96,αἴλουρος
alpha%22y97,ἀλ⸤λά
alpha%22y98,ἀγρυπνία
alpha%22y99,ἀκρ̣ί̣ς̣
alpha%22y100,ἆθλον
alpha%22y101,ἀκριβής
alpha%22y102,ἀστράγαλος
alpha%22y103,ἀπειλή
alpha%22y104,ἀταλαίπωρον
alpha%22y105,⸤ἀσπαλιεύς
alpha%22y106,ἀφροντιστήσας
alpha%22y107,⸤ἀκίβδηλος
alpha%22y108,⸤ἀδῄωτον
alpha%22y109,ἀκμῆτες
alpha%22y110,⸤ἀ⸥τεχνῶς
alpha%22y111,⸤ἀ⸥πόνασθαι
alpha%22y112,αἱμύλος
alpha%22y113,ἀνασκολοπισθῆναι
alpha%22y114,ἀνεῖσθαι
alpha%22y115,ἀβελτηρία
alpha%22y116,ἀναξυρίδας
alpha%22y117,ἀκροβολισαμένῳ
alpha%22y118,ἀρβύλη
alpha%22y119,ἀστίβητος
alpha%22y120,αἱρήσειν
alpha%22y121,ἀριστίνδην
alpha%22y122,ἀποκναιόμενοι
alpha%22y123,ἀνιείς
alpha%22y124,ἀπρίξ
alpha%22y125,ἀνύποιστος
alpha%22y126,ἄδυτα
alpha%22y127,ἀλέασθαι
alpha%22y128,ἀμφήριστον
alpha%22y129,ἀλᾶσθαι
alpha%22y130,ἀπερύκειν
alpha%22y131,ἀντίξουν
alpha%22y132,αὐτοβοεί
alpha%22y133,ἀνεσόβουν
alpha%22y134,ἀτέραμνον
alpha%22y135,ἀκονιτί
alpha%22y136,ἀλλαντοπωλῶν
alpha%22y137,ἀγύρτας
alpha%22y138,ἀναρριχώμενοι
alpha%22y139,αὐτομάτως
alpha%22y140,ἀγχώμαλα
alpha%22y141,ἀνεπαφρόδιτος
alpha%22y142,ἀποχρώντως
alpha%22y143,ἀποφλαυρίζοντες
alpha%22y144,ἀμβλυώττειν
alpha%22y145,ἀμάρας
alpha%22y146,ἀφαυρά
alpha%22y147,ἀμαιμάκετον
alpha%22y148,ἄγγωνες
alpha%22y149,ἄτρυτα
alpha%22y150,ἀκκίζεται
beta%22y1-2,βρενθυόμενοι
beta%22y3,βωμολοχίαις
beta%22y4,Βολωσία
beta%22y5-6,βραβεύει
gamma%22y1,γλαφυρώτατος
gamma%22y2,γνωματεύοντες
gamma%22y3a,γεγανωμένος
gamma%22y3b-8,γεγανωμένος
gamma%22y9,γλωχῖνα
gamma%22y10,Γήπαιδες
gamma%22y11a,γλιχόμενοι
gamma%22y11b,γλιχόμενος
gamma%22y12,γέρρα
gamma%22y13,γριφῶδες
gamma%22y14,γεγωνότερον
gamma%22y15,γρυπός
gamma%22y16,γωρυτούς
delta%22y1,διωλύγιον
delta%22y2,δαημονέστατοι
delta%22y3,δυηπαθείας
delta%22y4,διᾴττειν
delta%22y5,δεκατευτήριον
delta%22y6,δόνακες
delta%22y7,διακηρυκεύεται
delta%22y8,διφθέραν
delta%22y9,δαιταλεῦσιν
delta%22y10,διασεσοβημένος
delta%22y11,διαρρήδην
delta%22y12,δρύφακτοι
delta%22y13,διαμπάξ
epsilon%22y1-2,ἐμπεδῶσαι
epsilon%22y3,ἐνέρσει
epsilon%22y4,ἐγχρίπτουσα
epsilon%22y5,ἐπεκερτόμει
epsilon%22y6,εἰσήρρησεν
epsilon%22y7,„ἐς νέωτα τὸν πόλεμον μεταθέσθαι“
epsilon%22y8,ἐπίσ<σ>ωτρα
epsilon%22y9,ἐρυμνώσας
epsilon%22y10,ἐνερόχρωτες
epsilon%22y11,ἑωλοκρασία
epsilon%22y12a,ἔστεργεν
epsilon%22y12b,ἔστεργεν
epsilon%22y13a,ἐπέσκηψεν
epsilon%22y13b,ἐπέσκηψε
epsilon%22y14,ἐτώθαζον
epsilon%22y15,ἐπιθειάσας
epsilon%22y16,εἴσῃ
epsilon%22y17a,ἐσκαλευκότες
epsilon%22y17b,ἐσκαλευκότες
epsilon%22y18,ἐκεχειρία
epsilon%22y19,ἐρεσχηλῶ
epsilon%22y20,ἐνεόχμωσεν
epsilon%22y21,ἔκπυστα
epsilon%22y22,ἐπιθρυλοῦντες
epsilon%22y23a,ἔρανος
epsilon%22y23b,ἔρανος
epsilon%22y24,ἐγκάρσιον
epsilon%22y25,εἰρωνεύεσθαι
epsilon%22y26,εὐηθεία
epsilon%22y27,ἔπαλξις
epsilon%22y28,ἐφεῖντο
epsilon%22y29,ἐναβρύνεσθαι
epsilon%22y30,ἐπεβάτευσεν
epsilon%22y31a,ἑάλω
epsilon%22y31b,ἑάλω
epsilon%22y32,ἔξωρος
epsilon%22y33,ἐσκευωρῆσθαι
epsilon%22y34,ἐπιτροχάδην
epsilon%22y35,ἐπιέζοντο
epsilon%22y36,ἐφειμένον
epsilon%22y37,ἐλεηλάτει
epsilon%22y38,ἐκμαγεῖον
epsilon%22y39-40,ἔναυλος
epsilon%22y41,ἐλινύειν
epsilon%22y42,εὐτραπελία
epsilon%22y43,ἐνείρω
epsilon%22y43,ἐνείρω
epsilon%22y44,ἐσύκαζεν
zeta%22y1a,ζαμενής
zeta%22y1b,ζαμενής
zeta%22y2,ζωάγρια
zeta%22y3,ζάκορος
eta%22y1,ἤρεψεν
