ἄβαρις,ἄβαρις
ἄβιος,ἄβιος
ἀβροκόμας,ἀβροκόμας
ἀγάθαρχος,ἀγάθαρχος
ἀγαθῆς_τύχης_νεώς,ἀγαθῆς τύχης νεώς
ἀγασικλῆς,ἀγασικλῆς
ἄγοι,ἄγοι
ἀγελαίων,ἀγελαίων
ἀγενής,ἀγενής
ἀγησίλαος,ἀγησίλαος
ἄγλαυρος,ἄγλαυρος
ἁγνεύετε_τὴν_πόλιν,ἁγνεύετε τὴν πόλιν
ἁγνίας,ἁγνίας
ἀγνοῦς,ἀγνοῦς
ἀγνωμόνως,ἀγνωμόνως
ἀγοράς,ἀγοράς
ἀγορανόμοι,ἀγορανόμοι
ἀγοράσαι,ἀγοράσαι
ἀγραφίου,ἀγραφίου
ἀγρίους,ἀγρίους
ἀγρυλή,ἀγρυλή
ἀγυιᾶς,ἀγυιᾶς
ἀγύρριος,ἀγύρριος
ἀγωνίαν,ἀγωνίαν
ἀγωνιῶντες,ἀγωνιῶντες
ἀδέητος,ἀδέητος
ἀδελφίζειν,ἀδελφίζειν
ἀδημονούσης,ἀδημονούσης
ἀδηφάγους_τριήρεις,ἀδηφάγους τριήρεις
ἀδιάστατον,ἀδιάστατον
ἀδικίου,ἀδικίου
ἀδοκίμαστος,ἀδοκίμαστος
ἀδράστειαν,ἀδράστειαν
ἀδύνατοι,ἀδύνατοι
ἀεί,ἀεί
ἄϊδρις,ἄϊδρις
ἀειλογία,ἀειλογία
ἀειεστώ,ἀειεστώ
ἄερκτον,ἄερκτον
ἀετός,ἀετός
ἀζηνιεύς,ἀζηνιεύς
ἀζήτητον,ἀζήτητον
ἀθεώρητος,ἀθεώρητος
ἀθηνόδωρος,ἀθηνόδωρος
ἀθμονεύς,ἀθμονεύς
αἰγεῖον,αἰγεῖον
αἰγεῖδαι,αἰγεῖδαι
αἰγίδας_ἐκάλουν,αἰγίδας ἐκάλουν
αἰγιλιεύς,αἰγιλιεύς
αἰδέσασθαι,αἰδέσασθαι
αἰθαλίδης,αἰθαλίδης
αἰθιόπιον,αἰθιόπιον
αἰκίας,αἰκίας
αἰνίους,αἰνίους
αἰξωνῆσιν,αἰξωνῆσιν
ἀκαδήμεια,ἀκαδήμεια
ἀκαμαντίς,ἀκαμαντίς
ἀκαρῆ,ἀκαρῆ
ἀκινάκης,ἀκινάκης
ἄκη,ἄκη
ἀκμάζεις,ἀκμάζεις
ἄκριτος,ἄκριτος
ἀκροᾶσθαι,ἀκροᾶσθαι
ἀκτή,ἀκτή
ἄκτια,ἄκτια
ἀλαβαστοθῆκαι,ἀλαβαστοθῆκαι
ἁλαιεύς,ἁλαιεύς
ἀλάστωρ,ἀλάστωρ
ἁλέας,ἁλέας
ἀλέξανδρος,ἀλέξανδρος
ἁλίπεδόν,ἁλίπεδόν
ἁλιμούσιοι,ἁλιμούσιοι
ἁλιρρόθιος,ἁλιρρόθιος
ἀλκέτας,ἀλκέτας
ἀλκιβιάδης,ἀλκιβιάδης
ἀλκίμαχος,ἀλκίμαχος
ἀλκμαιωνίδαι,ἀλκμαιωνίδαι
ἀλογίαν,ἀλογίαν
ἄλογοι_ἐρανισταί,ἄλογοι ἐρανισταί
ἁλόννησος,ἁλόννησος
ἀλόπη,ἀλόπη
ἁλουργοπωλική,ἁλουργοπωλική
ἁλῶα,ἁλῶα
