alpha%22y197z1,Ἀσχολεῖν
alpha%22y197z2,Ἀλλ' ὦ τάν
alpha%22y197z3,Ἀντίδοσις
alpha%22y197z8,Ἀπόχρη
alpha%22y197z9,Ἅττα
alpha%22y197z11,"Ἀμφισβητεῖν καὶ παρακαταβάλλειν, καὶ τίνι Ἀλλήλων διαφέρει"
alpha%22y197z17,Αἵρεσις
alpha%22y197z19,Ἀλαζονεύεσθαι
alpha%22y197z21,Αἱρετός
alpha%22y197z22,Ἄρειος πάγος
alpha%22y197z24,Ἀντιγραφεύς
alpha%22y198z1,Ἀποδέκται
alpha%22y198z7,Ἀντιδιαπλέκειν
alpha%22y198z8,Ἀγών
alpha%22y198z11,Ἀποβατῶ
alpha%22y198z17,Ἀντικρύ
alpha%22y198z19,Ἄντικρυς
alpha%22y198z20,Ἀποτυμπανίσαι
alpha%22y198z22,Ἀβέλτερος
alpha%22y198z24,Ἀσελγής
alpha%22y198z25,Ἀρχαίως
alpha%22y198z26,Ἄτιμος
alpha%22y198z29,Ἀπογινώσκειν
alpha%22y198z31,Ἀπογραφή καὶ ἀπογράψαι
alpha%22y199z4,Ἀπογράφειν
alpha%22y199z9,Ἄρχων
alpha%22y199z12,Ἀντιλαχεῖν
alpha%22y199z14,Ἀπρόσκλητος δίκη
alpha%22y199z17,Ἀρχιθεωρός
alpha%22y199z21,Αὐτόχειρ
alpha%22y199z22,Ἀποπληξία
alpha%22y199z24,Ἀγορανόμοι
alpha%22y199z26,Ἄβιοι
alpha%22y199z28,Ἀγραφίου
alpha%22y199z32,Ἀδικίου
alpha%22y200z3,Ἀδύνατοι
alpha%22y200z6,Ἀνακαλυπτήρια
alpha%22y200z9,Ἀντιγραφή
alpha%22y200z16,Ἀντωμοσία καὶ ἀντομνύναι
alpha%22y200z21,Ἄγριοι
alpha%22y200z25,"Ἀπαγωγή, καὶ ἐπὶ τίσιν ἐγίνετο, καὶ πρὸς τίνας"
alpha%22y200z29,Ἀπετίμησε καὶ ἀποτίμησις καὶ ἀποτίμημα
alpha%22y201z5,Ἀποστασίου
alpha%22y201z12,Ἀπροστασίου
alpha%22y201z17,Ἀποψηφισθέντα
alpha%22y201z22,Ἀπόλειψις
alpha%22y201z25,Ἀποτιμηταί
alpha%22y201z29,Ἀποτιμᾷν
alpha%22y201z30,Ἀποτιμήματα
alpha%22y201z32,Ἀργυρίου δίκη
alpha%22y202z3,Ἀῤῥηφορεῖν
alpha%22y202z6,Ἀῤῥηφορία
alpha%22y202z7,Ἀτίμητος ἀγὼν καὶ τιμητός
alpha%22y202z11,Ἀφεὶς καὶ ἀπαλλάξας
alpha%22y202z15,Ἀναγκαῖον
alpha%22y202z17,Ἄλληκτα
alpha%22y202z18,Ἀκεστῷ
alpha%22y202z18,Ἄλφιτα
alpha%22y202z20,Ἀετὸς προπύλαιος
alpha%22y202z22,Ἀφιδρύματα ἐν ταῖς σφενδόναις
alpha%22y202z24,Ἀκροστόλιον τριήρους
alpha%22y202z26,Ἀμφιδέῤῥεα
alpha%22y202z27,Ἀρχώνης
alpha%22y202z28,Ἀρχιτέκτων
alpha%22y202z31,Ἀμφοτερόπλου
alpha%22y202z33,Ἀνακτορίου
alpha%22y203z1,Ἄλογοι τίνες λέγονται
alpha%22y203z5,Ἀταλάντη τριήρης
alpha%22y203z9,Ἀντλία
alpha%22y203z12,Ἀκροθίνιον
alpha%22y203z15,Ἄφυα
alpha%22y203z19,Ἀδηφάγους τριήρεις
alpha%22y203z22,Ἀποστολεῖς
alpha%22y203z25,Ἀκαριαῖον
alpha%22y203z26,Ἀνέπαφα
alpha%22y203z28,Ἀναδενδράδες
alpha%22y203z30,Αὐχμοί
alpha%22y203z32,Αἱμασιά
alpha%22y204z3,Ἄξονες
alpha%22y204z6,Ἀγορὰ καὶ ἐφορία
alpha%22y204z9,Ἀμόργινα
alpha%22y204z10,Ἀντίθετα
alpha%22y204z14,Ἀμοιγέποι
alpha%22y204z15,Ἀμφίθυρος οἰκία
alpha%22y204z17,Ἄττων
alpha%22y204z19,Ἀφ' ἑστίας μυηθῆναι
alpha%22y204z21,Ἄρτημα
alpha%22y204z23,Ἀβρότων
alpha%22y204z27,Αὐτολήκυθος
alpha%22y204z31,Ἀποφράδες
alpha%22y205z1,Ἀστράγαλοι διάσειστοι
alpha%22y205z3,Ἀστράβη
alpha%22y205z5,Ἄμιππος
alpha%22y205z10,Ἀποσέσχεν τοὺς ὅρμους τοῦ μετάλλου
alpha%22y205z14,Ἄμφοδον
alpha%22y205z15,Ἀπόταφον
alpha%22y205z17,Ἀμνόν καὶ ἀμνήν
alpha%22y205z19,Ἀκρατοκώθωνες
alpha%22y205z23,Ἀκινάκης
alpha%22y205z24,Ἀρκτοῦρον
alpha%22y205z27,Ἀπατούρια
alpha%22y205z30,Ἅπλας
alpha%22y206z1,Ἀλαβαστοθήκας
alpha%22y206z4,Ἀρκτεῦσαι
alpha%22y206z7,Ἄγρας
alpha%22y206z9,Ἀλάστωρ
alpha%22y206z11,Ἄρτι καὶ ἀρτίως
alpha%22y206z14,Ἄγειν καὶ φέρειν
alpha%22y206z16,Ἁρμοσταί
alpha%22y206z18,Ἄμη
alpha%22y206z19,Ἀκίβδηλον
alpha%22y206z20,Αὐλών
alpha%22y206z22,Ἀφανίσαι
alpha%22y206z24,Ἀπενιαυτίσαι
alpha%22y206z26,Ἁψιμαχία
alpha%22y206z28,Ἀποσημάνασθαι
alpha%22y206z29,Ἀστεῖος
alpha%22y207z1,Αὐτομαχεῖν
alpha%22y207z2,Ἄρδηττος
alpha%22y207z6,Ἀπὸ μισθωμάτων θύειν
alpha%22y207z13,Ἀμφιδρόμια
alpha%22y207z17,Ἀτιμαζόμενοι
alpha%22y207z19,Ἀπηχῆ
alpha%22y207z23,Ἀναγωγή
alpha%22y207z25,Ἄτης ὕης
alpha%22y207z32,Ἀθηνᾶ ἱππία
alpha%22y208z6,Ἄρτι μῦς πίττης γεύεται
alpha%22y208z8,Ἀναβάλλειν
alpha%22y208z9,Ἀπὸ μηχανῆς
alpha%22y208z13,Ἀντίπαλος
alpha%22y208z16,Ἀποκτυπῆσαι
alpha%22y208z17,Ἁλίπεδον
alpha%22y208z21,Ἀδημονεῖν
alpha%22y208z22,Ἁλῶα
alpha%22y208z24,Ἄσας
