1z1,ἀφηλικέστεροι
1z7,αἴρεται πόλεμον ἢ ἔχθραν ἢ στάσιν
1z9,αὐτόκερας
2z1,ἄνθρωπος φιλοπραγματίας
2z4,ἀκρότητος καὶ ἄπορος ἄνθρωπος
2z5,ἀκράχολον καὶ δύσκολόν <τι> φθέγγεται
2z7,ἀμφαρίστερος
2z9,αἰσχυνόμενος <γὰρ> περιπλέκει τὴν συμφοράν
2z11,ἄνοργοι
3z1,ἀνελκταῖς ὀφρύσι σεμνόν
3z3,ἀργύριον ἔχει οὐδ' ὅσον
3z5,"ἁπαλοὶ θερμολουσίαις, ἁβροὶ μαλθακευνίαις"
3z8,ἀνόητά γ' εἰ τοῦτ' ἦλθες ἐπιτάξων ἐμοί
3z11,"αὐτοσχεδιάζειν σύ, ἥκειν σύ"
4z1,ἄπλετον πώγωνα
4z3,αὐτὸ τοὔμπαλιν λέγεις
4z6,ἀνεβόησεν οὐράνιον ὅσον
4z8,ἀωρίαν ἥκειν
4z11,ἀνωφέλητος ἄνθρωπος
4z14,ἀφαιρεῖν κροκύδας
5z1,ἀφαιρεῖ τρίχας
5z3,ἀλινδήθρα
5z11,ἄνθρωπος ἀποφράς
5z15,ἀπιστίαν βλέπει
5z17,αὐτοκῆρυξ
5z19,ἀνεμεστώθη
5z21,ἀνακραγεῖν
6z1,"ἀνθρωποειδὲς θηρίον, ὕδατι συζῶν"
6z4,ἄνθρωπος ἐξ ὁδοῦ
6z6,ἁρπαγιμαῖος
6z10,"ἀγαθὸν ἔτι τοῦτ' ἀπολείπεται, εἰ καὶ τοῦτ' ἄρα"
6z13,ἀκύμων
6z18,ἀνασπᾶν γνωμίδιον
7z1,"ἄρχειν ὁ πατήρ σε παρηγγύησέ μοι, ἢ δῆμος, ἢ βασιλεύς"
7z4,ἀνεπάγγελτος δειπνεῖ
7z6,ἀπελαμπρύνθη
7z7,ἄτεγκτος παρηγορήμασιν
7z10,ἀπαίρειν
7z13,ἄκομψον καὶ φαῦλον
7z17,ἀπόβλεπτον
8z1,ἀμφιμήτωρ
8z3,ἀχώρ
8z6,ἄνθρωπος πρόδοξος
8z10,ἀτμίζον κρέας
8z12,ἀκοῦσαι ὀργῶ
9z1,ἀϋπνεῖσθαι
9z2,ἄδρατα
9z3,ἀπηνθίσθαι
9z6,ἀναπηδᾶν ἐν δήμῳ
9z8,ἀρήν
9z9,ἀρχῆθεν
9z12,ἀποδιοπομπεῖσθαι καὶ διοπομπεῖσθαι
9z18,ἀχυρός
10z1,αὐλίζεσθαι
10z4,αὐχμός καὶ αὐχμή καὶ αὐχμῶντα
10z7,αὐχμηρὰ γῆ
10z9,αὐτοχειρίᾳ
10z12,ἀρρωστία
10z18,ἀπέρωπος
10z22,ἀπολλύασιν
11z1,ἀργέλοφοι
11z4,ἀτεράμων ἄνθρωπος καὶ πρίνινος καὶ στιπτὸς καὶ σφενδάμνινος
11z13,ἄπαρνος
11z14,αὐτόκακον ἔοικε τῷδε
11z20,ἀκρύπτως
11z22,ἄψοφον ἔχειν στόμα
12z1,ἀστεῖόν <τι> καὶ κατερρινημένον εἰπεῖν
12z4,ἀναψαθάλλειν τὸ πέος
12z9,αἴρεσθαι τιμαῖς
12z11,ἀνεπίτροπος
